id,date,doctor_ssn,patient_ssn
23445,2004-08-15,11656939,71368918
11245,2016-09-04,87036482,28742342
26352,1989-05-14,89191917,90952695
24619,1998-06-19,65866074,11306949
91462,1995-02-05,27167594,26561399
54742,1975-07-21,54672603,11213646
23322,1998-04-18,86829362,73520612
18911,2011-11-02,71978755,92991959
99449,1982-05-11,64450712,74091634
62211,2006-04-14,46430596,64816933
43881,1978-03-08,98485783,36629529
53422,1980-07-10,33714804,85388533
10002,1995-02-20,69729059,95089917
83061,1990-03-10,33714804,53409608
62189,1979-08-15,24867775,29926404
29699,1971-08-27,12479069,93083092
18077,2009-12-28,70688213,64271107
47852,2020-09-14,30834969,59711291
85001,1999-02-12,38622081,92493712
98712,1996-09-01,63186509,78037158
62560,1970-05-27,67683702,47163238
14840,1982-07-25,65611753,14997290
32883,2017-02-11,42771490,94167726
61125,2010-12-18,59582449,89314548
88054,1983-04-24,76516358,64404209
71747,2004-07-09,67683702,47163238
62570,2017-08-05,81880729,88741764
79458,1983-09-18,38722427,51202746
73200,2002-07-29,51267267,84492148
36447,2008-02-10,59615084,98834021
15961,1993-06-04,47451778,20320351
26551,2018-07-21,77047089,36956815
80672,1986-04-29,52142617,24844268
75031,2008-10-02,78389226,42254130
42823,1972-10-15,74263262,99851551
44311,1988-06-28,36179876,46624166
58007,1990-06-26,28233562,62855113
66165,1975-07-07,92160743,18825596
99348,1973-02-07,83526296,10526025
20160,1974-05-19,86334423,71223961
13034,2020-08-03,31092415,45264997
98737,1981-03-04,26182443,85898834
89643,1995-01-12,86829362,73520612
37125,2020-12-03,71978755,80655368
16090,1991-02-20,30078286,10193070
54593,1997-07-19,54965176,59707434
85464,1984-11-24,11817916,90631473
55672,2002-01-09,25594270,15419071
23670,2008-12-07,76612438,14438317
21664,2000-07-16,18076165,64312395
28046,1990-04-22,90340440,16328353
36100,1972-01-02,92855777,80017717
19121,1999-05-27,61313981,62462829
74850,2016-07-28,34480861,94498700
36253,1990-02-02,88104164,57497593
34761,1996-04-29,64533542,47263226
41726,1984-07-30,65834151,37801108
98384,2000-02-21,75972046,39488865
76005,2012-04-18,38722427,90819038
81402,1997-03-18,65369515,54180255
17315,1972-06-21,37739616,23645319
42512,1975-01-29,12946086,38153489
36476,2002-04-10,52425844,96900433
81006,2016-12-02,76516358,64404209
32860,2008-03-13,92451649,15251544
90648,1973-04-09,77466800,82730283
45997,1974-07-21,19572547,86915721
15357,1970-08-15,70615923,68442179
89116,1985-06-24,68272022,18858491
27105,1979-06-27,87900785,65640729
29169,1986-05-15,21976288,23312225
58723,2016-12-15,42624892,27717642
50191,2020-12-22,96941965,82202266
75729,1989-12-17,29061274,66882663
46612,1982-08-08,28973534,39894752
61367,1985-08-05,65369515,64062127
17339,2014-01-05,35514193,76232620
74806,1983-03-30,25812588,45289501
20315,2018-05-06,56143789,34643356
25916,1990-05-07,29061274,66882663
54800,2004-09-13,50485510,35107086
23774,1989-07-24,83526296,10526025
73460,2003-09-28,62323982,16159960
85940,1997-12-17,81479327,79407222
36200,1999-11-28,65611753,62652464
33727,1987-03-07,28004071,48607671
19932,1988-07-24,19296094,11912385
12640,1985-08-28,30834969,25058383
80983,2003-07-23,63039705,55041969
94829,1989-11-20,18424203,78209501
73301,1986-01-11,41939083,76531589
30131,1998-11-24,85307688,29067346
12645,1971-03-19,21399884,90340188
63962,1977-01-21,12975035,75160092
91472,1989-08-25,92054301,36818100
53688,1979-04-13,87036482,28742342
96535,1995-01-16,17594394,66624968
81399,1992-09-09,29902628,97986862
65028,1997-03-07,92160743,18825596
45223,2015-12-08,64533542,47263226
70490,1970-07-07,31092415,45264997
83798,2017-03-23,87900785,24208465
95645,2017-07-27,16120505,96123062
97996,1984-09-24,87900785,65640729
12810,1988-11-18,37372836,23539935
39506,1996-05-02,91637230,59847645
66830,1974-01-29,82344354,22901531
29441,2012-02-25,82574889,68310191
16376,1991-03-05,55831693,64377151
42500,1974-01-18,64100046,59647470
81676,2002-07-01,90802402,90354918
79077,2015-12-02,71788115,76280076
47353,1987-08-26,78718006,38795910
93171,2006-09-02,30454507,59880363
93237,1978-12-28,28233562,77519918
63147,2010-06-21,78368989,57124182
36465,2017-06-19,32044946,30852738
25945,2016-08-11,15463250,42619237
68548,1997-01-27,77466800,82730283
90312,1985-06-23,69646346,95692478
49069,1973-12-11,20499053,16200301
17922,1998-03-20,21976288,15953895
59021,1974-02-10,55651957,22786260
68752,1988-05-09,70621170,45743638
36383,1970-12-26,13717408,20311419
54303,2003-03-30,66070125,52775951
89749,2002-10-18,68878341,92524001
92016,2008-06-20,63186509,16876917
65097,1980-04-22,80208559,88876940
73158,1999-07-29,83526296,60180232
90409,2008-06-07,67778393,75146528
28639,1981-05-04,80179939,48612304
76090,2016-07-31,27757297,17658038
73249,2001-04-05,68651001,28069950
19832,2013-10-01,63632353,62457645
42134,2016-02-17,44185039,59344023
24823,2005-08-01,79604943,48536506
95339,2003-03-13,19296094,48640472
74398,1972-02-10,78368989,37571017
39818,1998-01-27,64100046,59647470
41398,1976-02-22,27534856,15264686
69113,1979-02-03,72297075,25806305
36534,1972-05-06,52782415,52926123
78871,2017-12-11,94872596,87577288
61404,2002-01-17,93498739,24738434
69998,2020-05-13,34629679,49139994
48970,1989-09-06,11316852,64325270
64903,2013-09-15,65561449,50436077
90952,1974-09-08,57415251,94051381
83439,1987-05-03,17813511,41952304
53633,2019-03-22,11316852,64325270
86881,2017-07-30,92603773,83946004
41093,1972-02-06,26991274,26128888
34451,2008-12-18,33100847,24416728
13433,2013-03-04,62081048,81029535
32349,1973-07-14,61313981,62462829
48445,1982-10-05,31942676,30778017
11810,2010-02-20,26991274,12862692
34318,2002-02-17,95080084,72295127
27084,1993-10-22,68272022,50518189
17554,2017-10-31,39220034,55720115
47618,1994-11-27,81810436,63589084
71348,2014-07-06,20499053,41976457
71591,1971-12-01,65534460,81706229
63745,1984-04-09,39396483,97203681
78460,2007-06-21,66505374,59127595
84827,2011-05-10,30606081,27342268
70446,1996-10-07,38722427,90819038
64415,1991-06-10,40061558,79480095
71847,2004-01-01,37372836,23539935
58038,2017-02-10,59603419,18003960
17844,1973-07-02,11316852,21266923
98366,2009-06-25,54055138,85829043
75740,1992-03-30,65534460,81706229
19616,1987-07-30,62816528,62869033
28666,2001-11-25,13047810,42336985
92557,1983-01-24,58234525,51826290
71908,1978-02-02,17813511,41952304
72474,1993-03-20,83259105,46744453
30101,2011-02-28,81810436,63589084
74610,2020-08-14,67778393,16994552
35102,2018-10-25,21148678,41068823
62635,1995-03-22,78718006,73193811
68788,2000-03-30,99163513,42219409
69929,2008-10-10,65561449,98698513
98431,1997-11-06,50485510,35107086
67218,1979-07-30,79357879,54045301
99716,1984-04-06,33347985,41833928
98637,1989-09-11,49215639,42100147
44073,1994-01-02,11770943,67410023
30979,2004-04-06,92855777,32429634
23764,1983-04-23,34963962,60632967
92198,1996-12-21,30834969,59711291
62656,2002-03-25,30105413,30187652
42871,1973-09-03,30606081,96800691
66061,2013-01-05,91637230,59847645
61741,1976-10-07,70688213,70749350
58760,1994-07-16,77047089,33160705
85923,2012-04-18,82574889,58174956
59692,1988-08-16,55651957,58027710
14180,2006-12-16,72535496,96394308
89445,1991-11-07,34683555,59723165
26027,1978-06-07,42624892,27717642
65534,1972-10-29,67466275,68183568
47487,1990-07-09,65561449,50436077
39493,1972-07-15,84143990,86384780
10636,1971-07-25,69729059,84479511
73106,1994-09-29,97077535,80411702
49518,2013-09-29,93498739,24738434
16857,2005-02-08,90340440,16328353
77751,1974-07-14,37847159,64935109
23864,1982-06-20,63039705,55041969
98597,1980-11-01,42783938,57531828
35442,1985-11-26,31942676,30778017
92025,2010-07-04,82574889,68310191
31039,2001-01-25,34877091,95617987
78380,2016-05-04,28973534,39894752
28768,2008-02-21,91948195,85963832
69136,1990-02-02,67041301,23679636
20469,1978-08-13,17729801,73014497
58540,1973-11-19,29170836,28393249
39230,1999-12-14,30454507,59880363
99840,2008-06-13,69729059,84479511
54154,2005-01-18,59269480,51989381
16571,1985-10-01,78368989,37571017
68651,2003-07-28,33100847,24416728
87375,1995-12-01,82093766,58354550
68247,1992-06-07,26910170,68564307
18397,2014-06-15,64100046,59647470
84494,1990-08-09,33401129,58735498
14440,1995-07-19,78368989,37571017
11064,2007-08-14,87900785,24208465
38168,1984-08-09,33100847,97739045
30179,2018-11-11,47451778,62602868
53820,1972-04-11,77466800,82730283
25712,2001-06-21,79357879,54045301
65879,1989-02-21,83358978,54394978
13575,1988-05-03,22531739,22493523
79858,1970-11-08,18322426,40745540
41353,1977-05-25,82344354,22901531
15547,2018-03-26,48653893,66336493
61754,1971-12-12,11316852,64325270
97665,2003-05-15,64535784,84861733
93921,2004-08-29,35514193,76232620
72187,1989-07-04,36179876,46624166
29203,1994-08-19,23432381,40628605
79747,2009-08-19,92603773,67184922
71661,1990-09-05,34480861,94498700
47886,2017-11-28,18424203,81538244
79221,1991-01-14,68878341,92066656
76469,1973-09-07,64535705,56006360
81901,1976-05-16,23104323,62236271
73582,1991-04-24,80281730,78583899
25537,2019-01-13,42783938,57531828
26412,2020-09-02,34808165,66707244
28051,1974-08-10,67668113,84831223
43500,2008-02-23,11316852,64325270
84767,1978-08-16,47668695,29913207
81422,1984-09-28,95461961,55281530
31369,2004-01-29,21976288,23312225
33271,1990-03-25,93145002,50553778
19505,1974-04-15,66664551,58060552
75550,1993-12-22,77047089,33160705
95378,2006-12-23,94649890,40006560
33623,1977-02-22,25812588,22459896
27694,1999-02-01,63039705,74224145
49650,1973-11-24,33358621,75514447
34835,1976-09-23,93785360,80478126
31735,1972-01-20,44185039,17471468
24380,1975-11-10,64450712,74091634
89598,2012-01-28,77506621,88177583
70065,2009-03-15,13452051,31557133
11159,1983-08-17,64171170,44672269
22534,1985-12-02,11425056,81363700
58685,2018-02-08,89531655,45589271
37398,2010-04-29,94912027,21403332
79744,2004-04-30,87156157,94790454
78978,2011-03-02,90950238,22985025
36829,1973-06-06,83526296,10526025
83178,1991-12-28,95080084,35308206
80483,1986-02-11,65866074,76766328
79405,1977-11-14,17813511,40611086
54617,1983-07-18,36301244,65616761
18535,2011-12-25,96941965,82202266
42014,2003-05-28,87020930,12482652
44795,1996-09-29,76129491,92848467
57086,1993-10-19,72698465,93231559
90776,1978-11-14,94912027,77777651
59374,1984-02-05,64171170,44672269
30693,2011-01-04,73613202,92909189
53330,1987-04-05,15463250,42619237
84003,1993-04-16,30078286,10193070
10310,1991-05-29,68878341,92066656
33619,1979-11-13,31156896,64229470
79833,2008-09-28,66505374,26211696
14043,2005-09-10,77506621,86470420
66591,2008-08-09,22531739,22493523
43357,1986-03-02,71245845,56709868
68895,1988-07-03,33359199,82048513
27486,2000-08-25,52019681,94232898
87604,1975-12-21,10002383,15442161
58490,1985-09-25,42783938,57531828
13008,2004-12-26,31807224,22644626
99937,2010-08-06,13102774,45684485
83555,2018-10-08,40193136,89630159
41320,1989-10-09,86756434,99589738
21347,1992-07-11,65534460,90589048
33897,2011-09-23,11817916,21194387
96207,1990-03-15,34683555,78058482
42736,1988-01-19,54007023,60988546
83058,2002-02-25,33222470,54372532
31994,1996-07-17,97077535,80411702
29942,1999-12-16,37847159,33834250
45772,1990-02-16,87496311,92208747
11265,2003-02-25,25547153,39881586
77914,1974-02-04,97077535,80411702
53641,1996-12-03,44614689,78989260
21789,1980-09-11,52019681,91430555
50054,1984-02-25,85307688,69467670
82588,1989-02-20,50428925,71320968
15094,1998-11-03,77506621,88177583
50506,2014-05-22,99163513,42219409
39325,2019-03-02,50485510,35107086
54657,1997-09-01,30454507,87262091
26438,1983-12-16,92325707,45116002
86846,1997-06-01,25547153,88545085
51174,2004-12-22,21865776,85871536
95649,2003-10-19,63215818,67328740
18780,1982-06-16,33401129,58735498
49590,2007-11-21,69646346,95692478
47399,1971-05-13,21399884,14408280
61916,1999-03-06,95605094,13787357
82379,1977-02-07,57415251,94051381
29144,2001-08-12,27757297,95040447
55468,1970-12-10,82574889,68310191
94802,2015-12-17,48100885,28812650
17123,2005-11-30,40061558,79480095
40179,2015-10-30,43770521,87349174
83077,2018-11-19,51115572,16389037
41312,2020-01-25,66641014,56815095
54703,2015-04-30,56143789,47632466
54594,1986-02-04,63215818,81961697
57786,1992-05-03,30875909,24398886
69048,2017-06-04,24867775,29926404
51384,1997-10-31,91948195,60878350
82519,1970-05-28,62081048,81029535
12688,1970-09-21,16582883,33306229
84972,2010-09-25,81479327,33446708
96400,1986-01-15,70615923,25897000
88770,2015-07-27,86829362,73520612
56645,2010-11-27,93145002,39064723
65591,2010-07-27,30649145,19305836
65663,2002-12-09,35514193,76232620
63883,1988-03-17,64171170,14316215
75703,1984-12-30,65611753,62652464
68754,1993-03-28,77863908,84760284
39257,2010-06-04,25814046,39274159
28947,1977-08-21,94912027,77777651
53576,1994-08-09,81880729,88741764
84531,2007-06-27,76516358,64404209
94317,1990-12-23,58234525,72985486
95140,1980-07-23,87496311,92208747
53638,2015-02-03,16120505,35883602
67110,2002-08-22,34480861,53853416
33240,1986-02-01,77506621,88177583
39183,1973-08-20,29170836,81143080
39084,2008-10-30,13047810,22505116
23450,2003-03-27,37847159,64935109
59663,2007-12-13,20570832,15706485
49720,1982-02-03,48653893,66336493
91431,1989-05-10,40193136,13577355
45064,2006-02-09,62323982,36218770
16026,2001-03-23,80281730,78583899
74340,1988-02-25,37739616,30018294
50828,1997-07-27,64535705,56006360
16602,2000-03-31,59269480,15203173
42135,1974-03-18,79640709,44233017
74128,2007-11-27,38722427,90819038
26281,2010-10-25,82171553,74760924
73717,2006-09-23,52641571,97048928
99099,1975-10-07,11218310,51497888
55418,2002-10-08,79354380,60473011
35109,1976-03-20,89010566,37409003
66919,2000-10-27,30064194,24573233
71945,1981-06-12,87036482,28742342
26720,2017-06-11,68272022,18858491
28406,1974-06-01,17594394,66624968
66708,1970-09-22,21461169,67070356
94891,1986-02-13,89531655,45589271
81283,2007-09-23,62066313,70386952
14437,2008-02-02,67683702,26689225
15451,1988-10-23,29902628,64616138
86546,1997-08-05,93785360,45367133
48710,1994-02-17,41629310,87218032
36336,1997-09-17,28233562,62855113
66918,1994-03-04,73613202,92909189
91875,2018-11-09,76592148,13859600
74998,1981-12-11,57415251,94051381
25544,1993-10-28,28233562,62855113
18457,1979-12-29,66505374,26211696
66133,1990-10-04,41387324,68981884
60517,2014-09-02,33605044,73930548
46605,2001-08-07,57541343,60533978
84874,2012-06-02,39276719,52214842
46483,1975-06-10,77863908,19361152
24418,1985-05-09,99769858,21387575
53736,2001-07-23,87036482,28742342
19648,1976-01-07,59269480,51989381
16099,1992-06-15,13619137,54632622
45856,2010-04-17,87036482,28742342
80687,1998-05-13,59339978,92850528
86959,1981-03-13,99769858,21387575
56149,2017-09-01,30606081,27342268
85421,2003-01-12,18820852,77276342
33921,2007-06-11,18076165,42370507
74265,2019-07-31,65534460,81706229
20761,2010-02-08,23104323,62236271
87530,1980-07-14,39322107,71223178
96388,2012-03-03,52855270,40317177
45590,1992-05-25,94316410,42383216
21400,2017-11-18,37739616,30018294
69539,1979-03-03,65254136,79816281
71255,2001-03-31,54709578,11642090
94221,2001-04-25,36733945,63447577
72575,1988-12-08,76612438,90719785
78771,2013-09-19,30078286,21427226
15647,2003-11-07,16120505,35883602
51681,1975-09-08,95461961,48755632
65960,2005-10-08,31156896,64229470
10087,1996-12-30,49351883,58776046
80186,2020-12-23,36301244,65616761
10031,1971-06-05,33222470,54372532
14244,1981-04-08,28973534,39894752
24168,1971-02-28,99834987,42994528
11669,1988-07-14,92054301,36818100
54737,2007-07-25,80208559,85233155
95086,2020-10-17,11761661,51499903
77111,1980-05-26,65561449,50436077
64298,1986-08-27,43770521,79285800
86390,1995-07-31,89010566,48133636
79821,1972-05-01,35849353,74391392
48314,2012-07-09,87429712,23209592
59284,2015-03-01,37372836,53014401
80970,2014-02-26,19572547,86915721
67992,2009-07-03,90524366,36414189
52678,1971-08-01,35509814,45762688
96931,1992-03-13,63574520,22282322
36673,1987-04-20,60218927,33413111
86862,2005-11-20,69729059,84479511
21258,2019-12-18,93498739,38550758
72160,1975-11-23,81682384,20289767
16831,2004-09-18,66070125,25038828
46050,1982-12-02,67885705,58266280
90833,1983-09-27,21148678,41068823
94570,1981-05-21,18322426,40745540
22356,1999-08-07,65404051,37589280
48973,1987-08-21,57541343,60533978
90081,1987-11-06,33714804,85388533
18484,1986-09-14,66664551,15182479
17519,2015-05-20,27458128,54582069
29577,1989-02-23,37847159,33834250
95813,2013-01-22,99859327,63032655
49601,1986-02-20,96556337,83798973
97718,2004-02-14,60078644,41619086
81350,1976-08-06,54709578,44057695
72905,1977-05-27,92325707,45116002
21914,1986-09-19,86629684,73873770
81740,1996-12-07,33359199,82048513
61495,1977-03-28,12725677,82344059
96132,1993-05-04,52425844,83614541
56493,2020-07-02,27376420,14389318
86447,1997-08-29,60618184,17508328
75489,1984-10-16,48100885,28812650
82783,1972-02-02,40061558,79480095
68404,2009-01-28,89531655,45589271
86413,1988-11-03,52782415,80631170
31625,1991-03-25,18834593,90661097
37286,1980-07-10,12983664,15716020
65944,2007-10-22,41629310,87218032
41112,1973-08-13,30803542,82020349
36143,2008-10-28,37830188,87386953
49235,1993-10-20,85894485,45341336
99861,1989-02-14,99163513,42219409
84812,2007-04-16,37847159,33834250
41766,1989-07-08,33359199,64058451
77398,2000-12-08,76612438,14438317
24100,2018-09-07,22469139,54785320
84543,2001-04-21,68675594,78630737
77858,2008-12-03,88925156,20850844
64689,2005-02-24,34271941,81085048
62676,1996-11-23,36179876,83148229
34094,1988-08-15,76695278,64224954
69412,1982-02-15,19627725,45303721
22597,1996-05-09,70621170,45743638
60211,2007-03-21,73353613,43327406
11422,1980-12-31,73613202,92909189
33556,1992-12-23,79354380,50343419
65806,2013-09-05,56143789,34643356
19359,1989-07-21,77863908,84760284
81712,2009-10-24,72820792,37706673
90261,2003-07-17,97688719,23926604
34833,2005-04-22,26117729,96666062
89743,1974-01-12,43770521,87349174
71921,2006-11-14,97688719,23926604
39883,1978-01-02,22531739,42882962
48516,1982-01-12,50313638,86471346
80179,2010-08-04,29170836,81143080
27185,1998-10-08,50485510,47003088
65226,2012-05-18,25812588,22459896
79271,2000-04-16,71245845,56709868
58695,2005-06-18,36301244,28525389
74729,2003-11-21,64535784,84861733
63335,2002-08-04,79670769,18259355
95117,2001-01-19,50313638,86471346
45954,1973-05-26,33605044,73930548
21843,2002-11-08,49468591,50375309
41490,1970-08-17,71633501,80648833
24331,1973-08-10,73353613,45280449
83352,2003-09-26,67709125,24095279
64266,2009-12-05,38722427,51202746
24286,1974-06-27,71788115,76280076
38489,1970-01-09,26182443,34909249
28935,1993-01-31,55651957,22786260
48014,2012-09-29,59603419,18003960
90569,1994-07-27,30078286,21427226
67902,1981-08-04,82171553,71305620
71672,2013-02-20,90340440,19465656
57536,2013-12-01,28102949,23447608
68254,1978-09-17,60618184,17508328
76720,1983-03-03,40193136,13577355
54789,2008-02-28,29061274,89832484
62203,2003-04-24,25314221,32664155
34012,2005-01-30,30649145,52371055
52965,1995-04-07,76695278,64224954
69475,2019-12-02,29061274,89832484
63242,2006-09-15,62323982,36218770
26085,1985-08-18,74992963,47488549
81880,2008-08-26,37830188,17079882
13950,1997-02-19,36301244,65616761
39160,1989-01-28,26910170,25580656
30281,2009-10-13,29902628,64616138
82423,1985-10-24,59582449,89314548
61483,1979-11-29,82133586,46047741
90247,2015-07-16,32323826,10875147
94587,2001-11-02,87900785,65640729
18209,1986-03-26,52641571,94669994
73014,1996-01-15,38722427,51202746
60538,2005-05-29,50485510,47003088
57337,1994-03-08,13047810,42336985
20818,1974-08-14,36733945,63447577
38503,1994-04-22,71788115,25919255
33038,1991-10-18,29986514,30746557
68775,1971-01-26,44614689,78989260
84018,2020-09-07,72910133,95129444
85602,2018-01-07,45309632,24156007
78308,1993-08-15,64535784,84861733
36900,1979-02-04,97907228,81780194
79322,1997-10-05,60788892,93452890
35763,1973-03-27,94872596,87577288
48019,2000-04-24,66505374,59127595
50163,2003-02-04,38622081,92493712
68435,2018-02-20,18834593,87350382
78038,2009-03-11,67041301,23679636
98322,1982-02-22,58981884,89175671
11689,2011-01-19,39648684,10860522
80009,2007-02-06,40960388,39777546
45863,2003-02-28,62897633,16036832
51755,1975-03-21,34629679,66460119
47749,1970-11-20,92603773,67184922
50961,1993-02-09,36179876,46624166
77798,1987-08-20,34877091,95617987
40033,2015-02-21,20570832,10949141
65919,2019-08-09,46731613,37244134
64036,2003-04-14,37372836,23539935
82790,2000-06-04,87900785,24208465
76737,2019-09-04,55831693,64377151
75476,1973-12-12,67885705,58266280
85822,1991-12-25,62066313,57964801
79591,2011-11-04,86756434,72463933
39409,1993-01-09,47851681,83416772
43633,1995-07-14,37847159,33834250
28779,2010-03-09,63186509,16876917
57485,1976-02-01,68272022,18858491
14299,1986-09-03,49215639,60267915
70844,1990-07-29,64171170,44672269
19186,2012-07-08,26117729,96666062
39908,2015-07-11,82344354,51475823
16197,1993-09-08,68651001,28069950
54506,2003-02-09,12983664,15716020
24045,1979-03-23,52142647,91615164
70393,1992-02-01,25812588,22459896
31958,1992-08-22,62816528,62869033
28574,1974-06-06,52425844,83614541
76760,2019-07-27,61313981,62462829
49427,2005-07-26,66185957,54357890
62841,2020-03-19,17255815,13675005
