ssn,firstName,lastName,speciality,yearOfExpreince,phoneNum
87036482,Matthew,Castillo,Pathologist,8,989186654
53806717,Peter,Neal,Cardiothoracic anesthesiologist,26,984194863
18820852,Zachary,Johnson,Nephrologist,31,512397976
33347985,Mackenzie,Armstrong,Pathologist,21,156745107
54007023,Shannon,Hines,Obstetrics and gynaecologist,32,625340899
83358978,Phillip,Hughes,Colon and Rectal Surgeon,2,141012451
34024870,Paul,Lowery,Pediatrics,24,292501675
12983664,Becky,King,Pediatrics,25,182833048
47668695,Krystal,Wallace,Urologist,4,936145973
76516358,Madison,Suarez,Dermatologist,18,886092900
43536276,Linda,Kennedy,Psychiatrist,32,875350312
58981884,Bryan,White,Psychiatrist,21,306371738
29170836,Marissa,Wilson,Dermatologist,14,772512590
78718006,Sarah,Wilson,General surgery,17,487910332
86334423,Kyle,Caldwell,Pediatrics,15,429507869
77863908,Shane,Gallegos,Oncologist,22,224564107
31807224,Sara,Clark,Ophthalmologist,20,375621541
52855270,Victoria,Delgado,Otolaryngologist,4,228067698
35514193,Nicholas,Chang,Dermatologist,17,315579138
27534856,Edward,Dyer,General surgery,40,423183660
65534460,James,Pruitt,Hematologist,23,827714185
46430596,Joseph,Hoffman,Urologist,24,932024302
60618184,Timothy,Jenkins,Nephrologist,26,802159559
86629684,Leah,Mann,Dermatologist,1,344488347
66908234,Edward,Carlson,Pathologist,32,308384122
43770521,Christopher,Jimenez,Hematologist,36,999647216
21461169,Walter,Sanchez,Pathologist,9,808038409
27458128,Anna,Howell,Plastic Surgeon,17,608013928
82133586,Justin,Stevens,Pathologist,34,740139065
30875909,Dylan,Murillo,Psychiatrist,18,543993626
64450712,Melissa,White,Urologist,15,480795784
71978755,Deanna,Ellis,Plastic Surgeon,27,258843891
62081048,Heather,Cunningham,Obstetrics and gynaecologist,15,361261451
31942676,James,Horne,Obstetrics and gynaecologist,28,311130635
11761661,Joseph,Patton,Obstetrics and gynaecologist,4,965766264
92855777,Emily,Gross,Pediatrics,39,197371887
54965176,Matthew,Lutz,Psychiatrist,1,274497660
37830188,Sandra,Powell,Ophthalmologist,20,145787184
63215818,Phillip,Knox,Psychiatrist,27,142113425
68364973,James,Cooper,Urologist,5,266680090
67683702,Crystal,Bailey,Otolaryngologist,36,297513756
63574520,Tonya,Beasley,Dermatologist,27,782663255
67709125,Jennifer,West,General surgery,31,235733990
26910170,Ronnie,Hartman,Dermatologist,8,741890341
89531655,Amy,Cook,Otolaryngologist,36,434745252
95080084,Kayla,Brewer,Pediatrics,29,171945882
54709578,Alan,Ross,Radiologist,2,454394149
31156896,Cole,Brady,Plastic Surgeon,7,761063875
67668113,Darin,Hendrix,Otolaryngologist,30,921420341
49351883,Jonathan,Singleton,Dermatologist,15,851503962
29902628,Tara,Jordan,Pediatrics,14,890725920
74265993,Eric,Roth,Hematologist,9,528822101
17813511,Scott,Jenkins,General surgery,36,701279744
76695278,Lisa,Tran,Hematologist,25,156143328
25314221,Karen,Moore,Pediatrics,18,357652370
62897633,Larry,Morales,Urologist,37,236533477
34808165,Andres,Jones,Colon and Rectal Surgeon,30,776274454
30105413,Margaret,White,Plastic Surgeon,21,584622141
67778393,Cheryl,Santiago,Cardiothoracic anesthesiologist,11,627420150
54617051,Vincent,Soto,Radiologist,10,402431693
64100046,Briana,Elliott,Ophthalmologist,16,782659098
92451649,Anthony,Williams,Urologist,1,309588685
15463250,Bryan,Mosley,Pediatrics,5,322705993
15922142,James,Collins,Ophthalmologist,4,414527306
92325707,Katelyn,Burton,General surgery,40,380044196
11425056,James,Peterson,Ophthalmologist,16,270630555
76129491,Taylor,Lee,Dermatologist,12,384126914
69764587,Lisa,Gutierrez,Urologist,4,400515288
35854369,Jamie,Lucas,Nephrologist,10,459284742
36543940,Patricia,Moore,Urologist,23,457058121
53921112,Heather,Thompson,Plastic Surgeon,15,191320395
41939083,Melissa,Norman,Obstetrics and gynaecologist,2,400436237
27757297,Paul,Hayden,Radiologist,21,229413755
65866074,Thomas,Cervantes,Cardiothoracic anesthesiologist,39,623417106
73118319,Albert,Harris,General surgery,12,956921386
82093766,Jordan,Smith,Nephrologist,37,717546616
86829362,Tamara,Carrillo,Pathologist,19,787545017
21217783,Andrea,Stewart,General surgery,4,538994779
68470062,Taylor,Garrett,Hematologist,19,465591367
44410182,Sabrina,Trujillo,Cardiothoracic anesthesiologist,19,324351321
37739616,Patricia,Stanley,Psychiatrist,38,977991324
53687134,Ricky,Williams,Urologist,26,429107219
52782415,Kelly,Thompson,Radiologist,38,772082626
28973534,Jennifer,Aguilar,Ophthalmologist,27,640137317
29986514,Felicia,Adams,Hematologist,27,762072952
92160743,Carolyn,Rivera,Cardiothoracic anesthesiologist,6,488883127
23432381,Jared,Joyce,Cardiothoracic anesthesiologist,20,609574271
99859327,Kenneth,Dean,Psychiatrist,4,241475490
29583206,Lisa,Ford,Nephrologist,18,391313726
95605094,Luis,Wright,Hematologist,12,845495525
16120505,Martin,Wagner,Cardiothoracic anesthesiologist,23,848399047
39396483,Mary,Walker,Pathologist,34,591704435
58234525,Alejandra,Martin,Plastic Surgeon,27,793428148
72698465,Erin,Gibbs,Cardiothoracic anesthesiologist,14,211406639
26707168,Julian,Massey,Colon and Rectal Surgeon,24,531880984
22531739,Michael,Hamilton,Pediatrics,37,942518758
18322426,Joshua,Perry,Oncologist,39,343794826
26182443,Debbie,Fuentes,Cardiothoracic anesthesiologist,28,682569032
19400206,Karen,Rojas,Psychiatrist,3,803771752
52142647,John,Hanson,General surgery,27,825065051
30078286,Randall,Franklin,Cardiothoracic anesthesiologist,12,995051832
18207589,Carolyn,Carrillo,Plastic Surgeon,32,861930617
52142617,Sarah,Park,Psychiatrist,25,116093013
59582449,Shawn,Moore,Colon and Rectal Surgeon,36,909566043
52019681,Sandra,Murphy,Oncologist,9,681491697
24688229,Daniel,Green,Obstetrics and gynaecologist,29,203742164
30454507,Debra,Ali,Nephrologist,2,325864672
59147253,John,Nelson,Dermatologist,21,628733478
63186509,Melinda,Williams,Dermatologist,22,473599472
82344354,Jonathan,Baird,Pediatrics,24,724427800
78389226,Amy,Richardson,Nephrologist,6,210320408
20184724,Courtney,Thornton,Otolaryngologist,8,260932031
25814046,Rachel,Murillo,Hematologist,2,125243807
96212667,Michael,Steele,Hematologist,29,942043669
13619137,Tyler,Cook,Hematologist,31,935849105
12946086,Heather,Smith,Cardiothoracic anesthesiologist,27,916131518
47851681,Robert,Hicks,Plastic Surgeon,28,853921324
54757947,Cody,Myers,Urologist,33,840506268
92931463,Sherry,Maldonado,Cardiothoracic anesthesiologist,39,596751552
62323982,Holly,Rodgers,Radiologist,7,889838904
93498739,Andrea,Melendez,Otolaryngologist,36,539245249
33714804,Jessica,Sutton,Colon and Rectal Surgeon,39,391085669
19572547,Adriana,Whitaker,Cardiothoracic anesthesiologist,9,567127232
55831693,Andrea,Russell,Nephrologist,20,847514934
99834987,Isaac,Charles,Dermatologist,11,606991655
59603419,Billy,Ball,General surgery,2,937800500
30064194,Casey,Cox,Hematologist,8,169998669
52641571,Angela,Cochran,Ophthalmologist,11,258342972
57805782,Christopher,Sawyer,Hematologist,26,549064585
15052107,Lauren,Carpenter,Colon and Rectal Surgeon,24,725582839
21865776,Joy,Kelly,Ophthalmologist,29,913085879
85894485,Christopher,Adams,General surgery,20,480158472
16582883,Amanda,Obrien,Radiologist,32,536172804
26938716,Jonathan,Miller,Psychiatrist,5,940914294
68878341,Ryan,Martin,Obstetrics and gynaecologist,36,172129063
80208559,George,Aguilar,Pediatrics,12,650768095
90340440,James,Brown,Dermatologist,26,905982846
36301244,Jason,Lawrence,Oncologist,32,344134866
67756087,Kelly,Stewart,Radiologist,37,892658176
86756434,Heather,Carter,Ophthalmologist,36,898873514
70688213,Nicole,Newton,Colon and Rectal Surgeon,34,966519061
28102949,Michael,Lucas,Ophthalmologist,14,668507659
29061274,Ethan,Adams,Plastic Surgeon,26,391082439
54672603,Daniel,Mitchell,Pediatrics,18,727002512
26991274,Roger,Bowman,Dermatologist,33,223085323
55511123,Timothy,Barnett,Pathologist,28,623662090
18424203,Joshua,Medina,Hematologist,28,397054462
55651957,Beth,Martinez,Cardiothoracic anesthesiologist,10,258779441
54280798,Randy,Perry,Oncologist,33,601737714
45309632,Dana,Weaver,Urologist,14,261918064
90524366,William,Martin,Hematologist,26,957919282
82574889,Brooke,Pierce,Obstetrics and gynaecologist,38,648603236
96941965,Patrick,Davis,Hematologist,10,294420366
88104164,Heather,Baker,Pediatrics,40,273098793
85897172,John,Yang,Hematologist,24,362096817
12479069,Alicia,Caldwell,Ophthalmologist,24,948250972
89963279,Brandon,Hodges,General surgery,28,503222900
19296094,Jeremiah,Hall,Radiologist,38,948552372
73613202,Rachel,Bates,Colon and Rectal Surgeon,28,966824970
67041301,Steven,Stanley,Ophthalmologist,27,177090214
54055138,Nicole,Coleman,Hematologist,37,437228372
33100847,Alyssa,Clark,Obstetrics and gynaecologist,21,529873448
42783938,Nicole,Stone,Obstetrics and gynaecologist,32,913203418
41629310,Scott,Garcia,Colon and Rectal Surgeon,8,991343056
96596276,Kyle,Simmons,Psychiatrist,35,604294536
17594394,Cheryl,Jacobs,Hematologist,2,556461647
59615084,Charles,Jones,Ophthalmologist,8,951945694
65834151,Felicia,Lee,General surgery,35,625094152
31578147,Stacy,Marshall,Oncologist,14,894067074
68651001,Deborah,Pruitt,Pediatrics,2,743316245
37372836,Amanda,Torres,Pediatrics,28,809403366
61313981,Shannon,Wright,Nephrologist,29,146973923
50485510,Mark,Monroe,Pathologist,26,137173818
79901704,Anthony,Greene,Hematologist,36,985990626
35513602,Melissa,Mcknight,General surgery,21,578061353
30834969,Jason,Larson,Otolaryngologist,39,817316162
71788115,Cynthia,Wilson,Otolaryngologist,26,526219084
74992963,Roy,Ramsey,Plastic Surgeon,32,377137173
34683555,Christopher,Martinez,General surgery,32,848034021
11316852,Teresa,Strong,Plastic Surgeon,20,505889914
17255815,John,Maddox,Nephrologist,5,650377342
81682384,Christy,Finley,Pathologist,33,799331242
76820419,Paul,Dominguez,Radiologist,28,265383022
11218310,Kelli,Glover,Pediatrics,19,995963270
17276639,Ian,Bennett,Pediatrics,13,651565700
82171553,Kenneth,Brown,Nephrologist,5,798455285
50428925,Renee,Flores,Pathologist,34,979833490
17359090,Jacob,Murillo,General surgery,27,611845906
11444794,Amy,Shaw,Radiologist,10,450158812
13717408,April,Rogers,Pathologist,16,808353493
33222470,Kristen,Kennedy,Ophthalmologist,37,865341950
75972046,Danielle,Johnson,Pathologist,6,612446797
72535496,Michael,Simpson,Obstetrics and gynaecologist,37,549732597
34877091,Stephanie,Vazquez,Oncologist,24,556674804
83989481,Courtney,Gray,General surgery,24,948693755
39648684,Juan,Smith,Pathologist,15,694127554
79604943,Theresa,Jackson,Nephrologist,15,125149830
59269480,Crystal,Cummings,Pediatrics,21,430957926
79670769,Joanna,Diaz,General surgery,39,611324376
59190686,Natasha,Day,Dermatologist,29,370813350
89237918,Shawn,Black,Dermatologist,20,691103791
48100885,Gary,Johnson,Pathologist,4,390533689
18834593,Christopher,Miller,Cardiothoracic anesthesiologist,26,134753527
94872596,Christine,Galloway,Obstetrics and gynaecologist,14,119672170
97907228,Mark,Marsh,Radiologist,17,844873872
77506621,Kimberly,Mullen,Pathologist,35,758749018
91815654,Jesse,Weeks,Urologist,5,808651900
37847159,Karen,Walters,Obstetrics and gynaecologist,1,340727078
50313638,Craig,Jenkins,Radiologist,39,580932662
20570832,Grace,Crosby,Cardiothoracic anesthesiologist,22,227662985
89191917,Kayla,Powell,Otolaryngologist,38,476928063
13047810,Gregory,Hogan,Ophthalmologist,5,666565376
60279221,Alisha,Rhodes,General surgery,12,774699226
24695208,Kyle,Wright,Plastic Surgeon,40,324671243
54383880,Stephanie,Lynch,Dermatologist,8,392812765
35509814,John,Reyes,Ophthalmologist,23,840745742
87020930,Sean,Johnson,Ophthalmologist,26,835627489
76612438,Jasmine,Carson,Urologist,5,522372946
93785360,Brenda,Thompson,Radiologist,26,204744874
17729801,Don,Murphy,Pathologist,27,164822821
34271941,Amanda,Garcia,Ophthalmologist,15,962685558
10226227,Albert,Ryan,Hematologist,29,712088500
33359199,Janet,Hernandez,Dermatologist,35,929963319
71633501,Melissa,Smith,Oncologist,7,448227025
44185039,Kenneth,Howell,Hematologist,10,865482169
60078644,Adrian,Lopez,Ophthalmologist,19,682824732
36547672,Dennis,Potts,Otolaryngologist,18,659008023
48653893,Kenneth,Ramirez,Pathologist,40,266858838
33605044,Jennifer,Mooney,Colon and Rectal Surgeon,39,627039573
51267267,Juan,Mann,Obstetrics and gynaecologist,24,777450952
19104435,Harold,York,Pediatrics,7,524260833
66505374,Karen,Jones,Psychiatrist,8,875667962
11656939,Joel,Barker,Dermatologist,15,746083420
25547153,Patrick,Baird,Cardiothoracic anesthesiologist,32,733928606
35060753,Joshua,Galvan,Pathologist,14,709474566
78368989,Ashley,Warner,Plastic Surgeon,11,826252495
69646346,Melinda,Bennett,Plastic Surgeon,11,820530587
42771490,Vicki,Jones,Ophthalmologist,1,239811795
32044946,Ann,Khan,Colon and Rectal Surgeon,28,794207437
73353613,Tiffany,Phillips,Oncologist,25,267784217
81880729,Cameron,Griffin,Hematologist,17,580170595
81479327,Nathaniel,Johnson,Plastic Surgeon,30,220338756
79357879,Brianna,Austin,Colon and Rectal Surgeon,7,679899758
90802402,Michael,Trujillo,Plastic Surgeon,7,767386572
87156157,Zachary,Ryan,Plastic Surgeon,9,734981822
11770943,Joan,Williams,Plastic Surgeon,37,287332015
63039705,Edward,Velazquez,Hematologist,32,132809110
78022524,Stacy,Rodriguez,Radiologist,31,103020336
34629679,Jonathan,Jacobson,Psychiatrist,28,878490029
40419761,Adam,Harris,Plastic Surgeon,11,796681849
13102774,Ashley,Wright,Plastic Surgeon,6,265166637
66977222,Tiffany,Bernard,General surgery,24,575959436
65369515,Aaron,Scott,Pathologist,26,428431129
83259105,Melissa,Vasquez,Oncologist,4,712047144
22469139,Donna,Hogan,Pathologist,33,642475650
84527102,Mark,Rodriguez,Nephrologist,36,805472696
42624892,Aaron,Arnold,Pediatrics,5,182546187
94316410,Jason,Perez,Colon and Rectal Surgeon,22,697533611
12725677,Lisa,Barry,Urologist,30,667222284
89010566,Renee,Young,General surgery,28,247720013
46731613,Sherry,Chapman,Urologist,7,201267924
95461961,Andrew,Adams,Hematologist,16,759699917
64533542,Lisa,Walters,Pathologist,31,879751306
20499053,Daniel,Edwards,Otolaryngologist,40,807447512
77466800,Laurie,Gray,General surgery,20,563797931
67466275,Tammy,Morton,Cardiothoracic anesthesiologist,14,111043806
26117729,Deborah,Singleton,Plastic Surgeon,25,951405153
38622081,Jeffrey,Bowman,Urologist,35,100089622
94912027,David,West,Otolaryngologist,2,508666273
72910133,Gregory,Henderson,Oncologist,15,878039728
80281730,Jeffrey,Brown,Cardiothoracic anesthesiologist,16,948537403
99039949,Kaitlyn,Ford,Obstetrics and gynaecologist,36,962517993
18917417,Stephanie,Anderson,Plastic Surgeon,38,456218366
41397079,Mike,Ellis,Dermatologist,23,873388128
18076165,Sheryl,Sims,Otolaryngologist,3,533534875
65566222,Brian,Thompson,Nephrologist,26,902917215
75244854,Luis,Conner,Otolaryngologist,29,668392584
27167594,Tracy,Moore,Plastic Surgeon,7,911668058
72297075,John,Miller,Radiologist,6,678402322
66070125,Sarah,Griffin,Ophthalmologist,4,506721138
64535705,Cheryl,Hicks,Oncologist,7,694795586
13452051,Molly,Ross,Obstetrics and gynaecologist,5,869302753
66185957,Heather,Smith,Nephrologist,21,795743914
65561449,Michael,Tucker,Pathologist,32,796556040
21976288,Robert,Bolton,Hematologist,8,954883678
56143789,Pamela,Bennett,General surgery,7,861898588
12975035,Susan,Hill,General surgery,14,272090115
33358621,Ricardo,Howell,Oncologist,31,973822950
32323826,Jeffrey,Wilson,Obstetrics and gynaecologist,2,637995189
87429712,Brittany,Terry,Obstetrics and gynaecologist,13,397719888
72820792,Kaylee,Savage,Pediatrics,27,557120809
25812588,Charles,Simmons,Urologist,22,410236845
60218927,Mary,Marquez,Otolaryngologist,25,530575323
39322107,Katherine,Bailey,General surgery,31,503668673
65611753,Katherine,Brooks,Obstetrics and gynaecologist,3,275557621
52425844,Michaela,Anderson,Hematologist,3,523303292
94649890,Kenneth,Nguyen,Cardiothoracic anesthesiologist,28,482453488
43103892,Jeremy,Austin,Urologist,31,529509216
85307688,Karen,Gibson,Urologist,26,712781569
57415251,Sonya,Dominguez,Urologist,30,789775073
66641014,Christine,Martinez,Cardiothoracic anesthesiologist,8,746176964
64171170,John,Henry,Nephrologist,16,309944577
72845307,Jessica,Pierce,Plastic Surgeon,12,145716659
24108838,Sarah,Sanders,Obstetrics and gynaecologist,33,559135027
99917810,Richard,Dougherty,Otolaryngologist,6,624512087
63632353,Laurie,Hart,Oncologist,13,280115091
99163513,Brandon,Salazar,Pediatrics,19,148402639
70522849,Lisa,Olson,Oncologist,31,503153670
68272022,Autumn,Harris,Urologist,14,624020784
62816528,Matthew,Barber,Hematologist,5,887772276
44614689,Alyssa,Lopez,Cardiothoracic anesthesiologist,8,690316170
65404051,Lisa,Wilkins,Oncologist,1,304586666
28233562,Kenneth,Adkins,Pediatrics,32,353147979
71245845,Wesley,Randall,Ophthalmologist,29,752116881
97077535,Jean,Owens,Plastic Surgeon,33,658531570
77047089,Brittany,King,Cardiothoracic anesthesiologist,33,661548341
69729059,Dorothy,Anderson,Oncologist,35,891517270
56266747,Erika,Brown,Hematologist,4,100263405
27376420,Timothy,Palmer,Urologist,28,268052989
90950238,Mary,Anderson,Cardiothoracic anesthesiologist,25,948281548
59339978,Travis,Raymond,Pediatrics,19,986461533
34963962,Haley,Rodriguez,General surgery,1,396879076
57541343,Mary,Lambert,Plastic Surgeon,11,988080463
23104323,Kimberly,Valencia,Pathologist,32,318238552
38722427,Travis,Torres,Dermatologist,21,642902270
68675594,Isaiah,Wood,Colon and Rectal Surgeon,14,535982073
80179939,Dylan,Hudson,Dermatologist,10,623349559
91637230,David,Roberson,Pediatrics,23,907077052
36733945,Alan,Roberts,Colon and Rectal Surgeon,11,611160540
30803542,Christine,Castillo,Dermatologist,36,439617089
65250789,Roberto,Mitchell,Cardiothoracic anesthesiologist,34,599508050
87637885,Kirk,Evans,Urologist,30,972090156
40061558,Michael,Fowler,Radiologist,19,585971307
35849353,Adam,Kelly,General surgery,11,154612657
30606081,Emily,Freeman,Psychiatrist,34,871780877
49149648,Steven,Dunn,Hematologist,16,752767074
87900785,Jennifer,Macias,Oncologist,36,807613447
87496311,Jodi,Miller,Radiologist,2,707986957
81131937,Jennifer,Green,Plastic Surgeon,26,411979587
66664551,Lydia,Mitchell,General surgery,2,442708341
70615923,Melanie,Stewart,Colon and Rectal Surgeon,23,949372777
97688719,Julia,Taylor,Urologist,24,735959776
40193136,Kenneth,Flores,Cardiothoracic anesthesiologist,3,707917607
76592148,Eddie,Ferguson,Plastic Surgeon,1,923443719
64535784,Sabrina,Myers,Psychiatrist,13,891114428
42566120,Phillip,Kelley,Dermatologist,8,333749608
21148678,Eric,Williams,Hematologist,33,383297832
92603773,John,Foster,Plastic Surgeon,37,330809069
74263262,Mary,Brown,Radiologist,3,735615402
21399884,Sean,Woodard,Pediatrics,29,482930422
79354380,Madeline,Butler,General surgery,40,185303405
36179876,David,Trevino,Dermatologist,13,614164664
25594270,Mark,Norton,Nephrologist,2,751704082
51115572,Randall,Byrd,Oncologist,17,465902216
70621170,Jeffrey,Lynn,Psychiatrist,21,711883481
10002383,Jennifer,Campos,Ophthalmologist,10,655572117
28004071,Andrea,Phillips,Pathologist,23,361362778
33401129,Jason,Tanner,Obstetrics and gynaecologist,38,373247597
83526296,Sonya,Henderson,Urologist,13,662450323
79640709,Kristen,Hayes,Nephrologist,19,574916236
71599829,Crystal,Scott,Pediatrics,1,849142576
19627725,Timothy,Hall,Hematologist,2,658862002
41387324,Courtney,Skinner,Obstetrics and gynaecologist,38,473781372
81810436,Anne,Fischer,Nephrologist,18,542486326
48162226,Anthony,Travis,Oncologist,19,695127995
49468591,Jennifer,Santiago,Obstetrics and gynaecologist,18,732573098
